account_id,bioguide_id,mem_name,screen_name,chamber,state_abbr,party_code
37007274,Y000033,Don Young,repdonyoung,House,AK,200
2559398984,Y000033,Don Young,DonYoungAK,House,AK,200
2253968388,B001289,Bradley Byrne,RepByrne,House,AL,200
42481696,B001289,Bradley Byrne,BradleyByrne,House,AL,200
2861616083,P000609,Gary Palmer,USRepGaryPalmer,House,AL,200
2296943622,P000609,Gary Palmer,Palmer4Alabama,House,AL,200
224294785,R000591,Martha Roby,RepMarthaRoby,House,AL,200
69086398,R000591,Martha Roby,TeamRoby,House,AL,200
237299871,B001274,Mo Brooks,RepMoBrooks,House,AL,200
68277792,B001274,Mo Brooks,MoInTheHouse,House,AL,200
76452765,A000055,Robert Aderholt,Robert_Aderholt,House,AL,200
804359648,A000055,Robert Aderholt,CongAderholt,House,AL,200
381152398,S001185,Terri Sewell,RepTerriSewell,House,AL,100
69326168,S001185,Terri Sewell,Sewell4Congress,House,AL,100
2852998461,W000821,Bruce Westerman,RepWesterman,House,AR,200
1592481150,W000821,Bruce Westerman,WestermanAR,House,AR,200
342677019,W000821,Bruce Westerman,bruce_westerman,House,AR,200
2953974395,H001072,French Hill,RepFrenchHill,House,AR,200
1740229652,H001072,French Hill,ElectFrench,House,AR,200
233693291,C001087,Rick Crawford,RepRickCrawford,House,AR,200
50918998,C001087,Rick Crawford,Crawford4Cong,House,AR,200
234469322,W000809,Steve Womack,rep_stevewomack,House,AR,200
112651673,W000809,Steve Womack,womack4congress,House,AR,200
816652616625168388,B001302,Andy Biggs,RepAndyBiggsAZ,House,AZ,200
702601370344402944,B001302,Andy Biggs,andybiggs4az,House,AZ,200
1081240074946252801,K000368,Ann Kirkpatrick,RepKirkpatrick,House,AZ,100
272004287,K000368,Ann Kirkpatrick,Ann_Kirkpatrick,House,AZ,100
229197216,S001183,David Schweikert,RepDavid,House,AZ,200
21509894,S001183,David Schweikert,DavidSchweikert,House,AZ,200
996094929733652481,L000589,Debbie Lesko,RepDLesko,House,AZ,200
34715823,L000589,Debbie Lesko,DebbieLesko,House,AZ,200
